52529692,,458622,21434943,MAIN,11571517,2316131,,,,,,,,7168279,qualitative,,6089171,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,"Bioassay :  Example 38: Cytotoxicity studies of 13, 16, 18 and 21 in MCF-7 cellsTo date there is no evidence of a strong cytotoxic effect in Zn(ATSM). It was noted by the fluorescence microscopy of Example 37 that the IGROV, MCF-7 and HeLa cells all showed considerable reduction in size, followed by reduced binding",Cytotoxic,1806766,MCF-7 cell line,,,,,,,,,,,,,,,,,,"48 h after administration of the title compound at 12.5 - 100 μmol/l < 1e4 - ~ 4e5 live cells/ml were remained (~ 1.16e6 live cells in medium alone, ~ 1.18e6 live cells in 1 : 99 DMSO : medium solution); results are shown in fig. 31",,,,,,,,,,2018/11/16,,,2018/11/22,
52529693,,458622,21434950,MAIN,18708552,13,,,,,,,,7168279,qualitative,,6089171,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,"Bioassay :  Example 38: Cytotoxicity studies of 13, 16, 18 and 21 in MCF-7 cellsTo date there is no evidence of a strong cytotoxic effect in Zn(ATSM). It was noted by the fluorescence microscopy of Example 37 that the IGROV, MCF-7 and HeLa cells all showed considerable reduction in size, followed by reduced binding",Cytotoxic,1806766,MCF-7 cell line,,,,,,,,,,,,,,,,,,"48 h after administration of the title compound at 12.5 - 100 μmol/l ~ 1e5 - ~ 6.8e5 live cells/ml were remained (~ 1.18e6 live cells in medium alone, ~ 1.05e6 live cells in 1 : 99 DMSO : medium solution); results are shown in fig. 37",,,,,,,,,,2018/11/16,,,2018/11/22,
52529694,,458622,21434948,MAIN,18528002,16,,,,,,,,7168279,qualitative,,6089171,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,"Bioassay :  Example 38: Cytotoxicity studies of 13, 16, 18 and 21 in MCF-7 cellsTo date there is no evidence of a strong cytotoxic effect in Zn(ATSM). It was noted by the fluorescence microscopy of Example 37 that the IGROV, MCF-7 and HeLa cells all showed considerable reduction in size, followed by reduced binding",Cytotoxic,1806766,MCF-7 cell line,,,,,,,,,,,,,,,,,,"48 h after administration of the title compound at 12.5 - 100 μmol/l ~ 5.8e5 - ~ 9e5 live cells/ml were remained (~ 1.18e6 live cells in medium alone, ~ 1.05e6 live cells in 1 : 99 DMSO : medium solution); results are shown in fig. 37",,,,,,,,,,2018/11/16,,,2018/11/22,
52529695,,458622,21434946,MAIN,18345876,2536202,,,,,,,,7168279,qualitative,,6089171,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,"Bioassay :  Example 38: Cytotoxicity studies of 13, 16, 18 and 21 in MCF-7 cellsTo date there is no evidence of a strong cytotoxic effect in Zn(ATSM). It was noted by the fluorescence microscopy of Example 37 that the IGROV, MCF-7 and HeLa cells all showed considerable reduction in size, followed by reduced binding",Cytotoxic,1806766,MCF-7 cell line,,,,,,,,,,,,,,,,,,"after addition of the title compound cells showed considerable reduction in size, followed by reduced binding to the coverslip within the period 60-90 minutes",,,,,,,,,,2018/11/16,,,2018/11/22,
52529696,,458622,21434944,MAIN,18030294,18,,,,,,,,7168280,LC50,,6089171,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,"Bioassay :  Example 38: Cytotoxicity studies of 13, 16, 18 and 21 in MCF-7 cellsTo date there is no evidence of a strong cytotoxic effect in Zn(ATSM). It was noted by the fluorescence microscopy of Example 37 that the IGROV, MCF-7 and HeLa cells all showed considerable reduction in size, followed by reduced binding",Cytotoxic,1806766,MCF-7 cell line,,,,,,,,,,,,,,,,,,,,12.5,,µM,4.9,result normalized in M; pAur = -log(value),,,,2018/11/16,,,2020/03/17,
52529697,,458622,21434945,MAIN,18030295,21,,,,,,,,7168280,LC50,,6089171,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,"Bioassay :  Example 38: Cytotoxicity studies of 13, 16, 18 and 21 in MCF-7 cellsTo date there is no evidence of a strong cytotoxic effect in Zn(ATSM). It was noted by the fluorescence microscopy of Example 37 that the IGROV, MCF-7 and HeLa cells all showed considerable reduction in size, followed by reduced binding",Cytotoxic,1806766,MCF-7 cell line,,,,,,,,,,,,,,,,,,,,12.5,,µM,4.9,result normalized in M; pAur = -log(value),,,,2018/11/16,,,2020/03/17,
52529698,,458622,21434949,MAIN,18708551,12,,,,,,,,7168272,LD50,,6089162,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,"Bioassay :  Example 23: Cytotoxicity studies of zinc(II) bis(thiosemicarbazone) compounds 12, 13 and 14It was noted during fluorescence microscopy studies that cells showed considerable reduction in size, reduced binding to the coverslip and cell vesicularisation, upon exposure to compounds 12, 13 and 14. It was",Cytotoxic,1806769,SW620 cell line,,,,human,,,,,,,,,,,human,,,,,100,,µM,4,result normalized in M; pAur = -log(value),,,,2018/11/16,,,2020/03/17,
52529699,,458622,21434951,MAIN,18708553,14,,,,,,,,7168272,LD50,,6089162,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,"Bioassay :  Example 23: Cytotoxicity studies of zinc(II) bis(thiosemicarbazone) compounds 12, 13 and 14It was noted during fluorescence microscopy studies that cells showed considerable reduction in size, reduced binding to the coverslip and cell vesicularisation, upon exposure to compounds 12, 13 and 14. It was",Cytotoxic,1806769,SW620 cell line,,,,human,,,,,,,,,,,human,,,,,100,,µM,4,result normalized in M; pAur = -log(value),,,,2018/11/16,,,2020/03/17,
52529700,,458622,21434950,MAIN,18708552,13,,,,,,,,7168272,LD50,,6089162,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,"Bioassay :  Example 23: Cytotoxicity studies of zinc(II) bis(thiosemicarbazone) compounds 12, 13 and 14It was noted during fluorescence microscopy studies that cells showed considerable reduction in size, reduced binding to the coverslip and cell vesicularisation, upon exposure to compounds 12, 13 and 14. It was",Cytotoxic,1806769,SW620 cell line,,,,human,,,,,,,,,,,human,,,,,15,,µM,4.82,result normalized in M; pAur = -log(value),,,,2018/11/16,,,2020/03/17,
52529701,,458622,21434944,MAIN,18030294,18,,,,,,,,7168278,qualitative,,6089169,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect :   cell uptake,,1806766,MCF-7 cell line,,,,,,,,,,,,,,,,,,rapid uptake of the title compound with maximum after 40 min was observed; results are shown in fig. 29a-d; suggesting mechanism of uptake is endocytosis,,,,,,,,,,2018/11/16,,,2018/11/22,
52529702,,458622,21434950,MAIN,18708552,13,,,,,,,,7168268,qualitative,,6089159,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect :   cell uptake,,1806766,MCF-7 cell line,,,,,,,,,,,,,,,,,,rapid uptake of the title compound was observed; suggesting mechanism of uptake is endocytosis,,,,,,,,,,2018/11/16,,,2018/11/22,
52529703,,458622,21434950,MAIN,18708552,13,,,,,,,,7168282,qualitative,,6089172,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect :   cell uptake,,1806769,SW620 cell line,,,,human,,,,,,,,,,,human,,,"strong uptake of the title compound comparable with IGROV cells study was observed; results are shown in fig. 9b, 10a",,,,,,,,,,2018/11/16,,,2018/11/22,
52529704,,458622,21434951,MAIN,18708553,14,,,,,,,,7168282,qualitative,,6089172,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect :   cell uptake,,1806769,SW620 cell line,,,,human,,,,,,,,,,,human,,,strong uptake of the title compound was observed; longer incubation is required to observe similar levels of fluorescence intensity as in the IGROV cells study; title compound showed strong uptake in large specific areas of the cells adjacent to the,,,,,,,,,,2018/11/16,,,2018/11/22,
52529705,,458622,21434949,MAIN,18708551,12,,,,,,,,7168282,qualitative,,6089172,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect :   cell uptake,,1806769,SW620 cell line,,,,human,,,,,,,,,,,human,,,strong uptake of the title compound was observed; title compound showed strongest nuclear uptake; results are shown in fig. 9a,,,,,,,,,,2018/11/16,,,2018/11/22,
52529706,,458622,21434954,MAIN,18528003,,,,,,,,,7168284,qualitative,,6089179,,,In Vitro (Efficacy),,,,cell uptake,,1806765,MCF-7 cell line,,,,,,,,,,,,,,,,,,rapid uptake of the title compound was observed; suggesting mechanism of uptake is endocytosis,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529707,,458622,21434955,MAIN,18528009,,,,,,,,,7168284,qualitative,,6089179,,,In Vitro (Efficacy),,,,cell uptake,,1806765,MCF-7 cell line,,,,,,,,,,,,,,,,,,rapid uptake of the title compound with maximum after 40 min was observed; results are shown in fig. 29a-d; suggesting mechanism of uptake is endocytosis,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529708,,458622,21434955,MAIN,18528009,,,,,,,,,7168285,qualitative,,6089181,,,In Vitro (Efficacy),,,,cell uptake,,1806767,HeLa cell line,,,,,,,,,,,,,,,,,,"cell fluorescence increased rapidly during the first 20 minutes after which the signal became constant; results are shown in fig. 28a, 28b",ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529709,,458622,21434953,MAIN,18527999,,,,,,,,,7168286,qualitative,,6089183,,,In Vitro (Efficacy),,,,cell uptake,,,,,,,,,,,,,,,,,,,,,strong uptake of the title compound was observed; title compound showed little or no nuclear uptake; results are shown in fig. 11a,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529710,,458622,21434954,MAIN,18528003,,,,,,,,,7168286,qualitative,,6089183,,,In Vitro (Efficacy),,,,cell uptake,,,,,,,,,,,,,,,,,,,,,"strong uptake of the title compound was observed; title compound showed little or no nuclear uptake; results are shown in fig. 11b, 12a",ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529711,,458622,21434957,MAIN,18528014,,,,,,,,,7168286,qualitative,,6089183,,,In Vitro (Efficacy),,,,cell uptake,,,,,,,,,,,,,,,,,,,,,"title compound showed abnormally long delay before any fluorescence is observed but then showed an equally rapid fluorescence uptake; title compound showed little or no nuclear uptake; results are shown in fig. 11c, 12b",ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529712,,458622,21434955,MAIN,18528009,,,,,,,,,7168287,qualitative,,6089185,,,In Vitro (Efficacy),,,,cell uptake,,,,,,,,,,,,,,,,,,,,,rapid uptake of the title compound with maximum after 40 min was observed results are shown in fig. 30a-c,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529713,,458622,21434957,MAIN,18528014,,,,,,,,,7168288,qualitative,,6089188,,,In Vitro (Efficacy),,,,cell uptake,,,,,,,,,,,,,,,,,,,,,"rapid uptake of the title compound was observed; title compound well distributed within the cytoplasm showing areas of heightened fluorescence intensity; results are shown in fig. 7, 8",ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529714,,458622,21434954,MAIN,18528003,,,,,,,,,7168288,qualitative,,6089188,,,In Vitro (Efficacy),,,,cell uptake,,,,,,,,,,,,,,,,,,,,,"rapid uptake of the title compound with maximum after 10 min was observed; title compound well distributed within the cytoplasm showing areas of heightened fluorescence intensity; results are shown in fig. 7, 8",ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529715,,458622,21434953,MAIN,18527999,,,,,,,,,7168288,qualitative,,6089188,,,In Vitro (Efficacy),,,,cell uptake,,,,,,,,,,,,,,,,,,,,,"rapid uptake of the title compound with maximum after ~ 18 min was observed; title compound was well distributed within the cytoplasm with areas of heightened fluorescence intensity; title compound showed promising results towards nuclear uptake; results are shown in fig. 5a, 5b, 6",ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529716,,458622,21434954,MAIN,18528003,,,,,,,,,7168289,qualitative,,6089178,,,In Vitro (Efficacy),,,,cell uptake,,,,,,,,,,,,,,,,,,,,,"strong uptake of the title compound comparable with IGROV cells study was observed; results are shown in fig. 9b, 10a",ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529717,,458622,21434957,MAIN,18528014,,,,,,,,,7168289,qualitative,,6089178,,,In Vitro (Efficacy),,,,cell uptake,,,,,,,,,,,,,,,,,,,,,"strong uptake of the title compound was observed; longer incubation is required to observe similar levels of fluorescence intensity as in the IGROV cells study; title compound showed strong uptake in large specific areas of the cells adjacent to the nucleus; results are shown in fig. 9c, 10b",ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529718,,458622,21434953,MAIN,18527999,,,,,,,,,7168289,qualitative,,6089178,,,In Vitro (Efficacy),,,,cell uptake,,,,,,,,,,,,,,,,,,,,,strong uptake of the title compound was observed; title compound showed strongest nuclear uptake; results are shown in fig. 9a,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529719,,458622,21434954,MAIN,18528003,,,,,,,,,7168290,qualitative,,6089176,,,In Vitro (Efficacy),,,,cell uptake,,,,,,,,,,,,,,,,,,,,,"strong uptake of the title compound was observed; title compound showed little or no nuclear uptake; results are shown in fig. 13a, 13b, 14a",ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529720,,458622,21434957,MAIN,18528014,,,,,,,,,7168290,qualitative,,6089176,,,In Vitro (Efficacy),,,,cell uptake,,,,,,,,,,,,,,,,,,,,,"title compound showed localised uptake and some partial nuclear uptake; title compound showed little or no nuclear uptake; results are shown in fig. 13c, 13d, 14b",ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529721,,458622,21434954,MAIN,18528003,,,,,,,,,7168291,qualitative,,6089184,,Cell/tumor cell: proliferation/viability/growth,Toxicity/Safety Pharmacology,,,,cytotoxic,Cytotoxic,1806765,MCF-7 cell line,,,,,,,,,,,,,,,,,,"48 h after administration of the title compound at 12.5 - 100 μmol/l ~ 1e5 - ~ 6.8e5 live cells/ml were remained (~ 1.18e6 live cells in medium alone, ~ 1.05e6 live cells in 1 : 99 DMSO : medium solution); results are shown in fig. 37",ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529722,,458622,21434952,MAIN,18527996,,,,,,,,,7168291,qualitative,,6089184,,Cell/tumor cell: proliferation/viability/growth,Toxicity/Safety Pharmacology,,,,cytotoxic,Cytotoxic,1806765,MCF-7 cell line,,,,,,,,,,,,,,,,,,"after addition of the title compound cells showed considerable reduction in size, followed by reduced binding to the coverslip within the period 60-90 minutes",ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529723,,458622,21434955,MAIN,18528009,,,,,,,,,7168292,LC50,,6089184,,Cell/tumor cell: proliferation/viability/growth,Toxicity/Safety Pharmacology,,,,cytotoxic,Cytotoxic,1806765,MCF-7 cell line,,,,,,,,,,,,,,,,,,"48 h after administration of the title compound at 12.5 - 100 μmol/l ~ 1e5  - ~ 6e5 live cells/ml were remained (~ 1.16e6 live cells in medium alone, ~ 1.18e6 live cells in 1 : 99 DMSO : medium solution); results are shown in fig. 31",~,12.5,,µM,4.9,result normalized in M; pAur = -log(value),,,,2018/11/16,,,2020/03/17,
52529724,,458622,21434956,MAIN,18528010,,,,,,,,,7168292,LC50,,6089184,,Cell/tumor cell: proliferation/viability/growth,Toxicity/Safety Pharmacology,,,,cytotoxic,Cytotoxic,1806765,MCF-7 cell line,,,,,,,,,,,,,,,,,,"48 h after administration of the title compound at 12.5 - 100 μmol/l ~ 2e5  - ~ 8e5 live cells/ml were remained (~ 1.16e6 live cells in medium alone, ~ 1.18e6 live cells in 1 : 99 DMSO : medium solution); results are shown in fig. 31",~,12.5,,µM,4.9,result normalized in M; pAur = -log(value),,,,2018/11/16,,,2020/03/17,
52529725,,458622,21434952,MAIN,18527996,,,,,,,,,7168293,qualitative,,6089180,,Cell/tumor cell: proliferation/viability/growth,Toxicity/Safety Pharmacology,,,,cytotoxic,Cytotoxic,1806767,HeLa cell line,,,,,,,,,,,,,,,,,,"addition of the title compound to cells resulted in cell death; after addition of the title compound cells showed considerable reduction in size, followed by reduced binding to the coverslip within the period 60-90 minutes",ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529726,,458622,21434954,MAIN,18528003,,,,,,,,,7168294,LD50,,6089186,,Cell/tumor cell: proliferation/viability/growth,Toxicity/Safety Pharmacology,,,,cytotoxic,Cytotoxic,,,,,,,,,,,,,,,,,,,,"48 h after administration of the title compound at 6.5 - 50 μmol/l ~ 5e5  - ~ 1.5e6 live cells/ml were remained (~ 1.4e6 live cells in medium alone, ~ 1.6e6 live cells in 1 : 99 DMSO : medium solution); results are shown in fig. 17",~,25,,µM,4.6,result normalized in M; pAur = -log(value),,,,2018/11/16,,,2020/03/17,
52529727,,458622,21434954,MAIN,18528003,,,,,,,,,7168295,qualitative,,6089177,,Cell/tumor cell: proliferation/viability/growth,Toxicity/Safety Pharmacology,,,,cytotoxic,Cytotoxic,,,,,,,,,,,,,,,,,,,,"48 h after administration of the title compound at 12.5 - 100 μmol/l ~ 1e4 - ~ 1.5e5 live cells/ml were remained (~ 8.5e5 live cells in medium alone, ~ 8.8e5 live cells in 1 : 99 DMSO : medium solution); results are shown in fig. 19",ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529728,,458622,21434952,MAIN,18527996,,,,,,,,,7168295,qualitative,,6089177,,Cell/tumor cell: proliferation/viability/growth,Toxicity/Safety Pharmacology,,,,cytotoxic,Cytotoxic,,,,,,,,,,,,,,,,,,,,"after administration of the title compound at high concentrations reduction of cell number to ~ 87 was observed; ; after addition of the title compound cells showed considerable reduction in size, followed by reduced binding to the coverslip within the period 60-90 minutes",ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529729,,458622,21434954,MAIN,18528003,,,,,,,,,7168296,LD50,,6089175,,Cell/tumor cell: proliferation/viability/growth,Toxicity/Safety Pharmacology,,,,cytotoxic,Cytotoxic,,,,,,,,,,,,,,,,,,,,"48 h after administration of the title compound at 12.5 - 100 μmol/l ~ 5e4  - ~ 9e5 live cells/ml were remained (~ 1.4e6 live cells in medium alone, ~ 1.6e6 live cells in 1 : 99 DMSO : medium solution); results are shown in fig. 16",~,15,,µM,4.82,result normalized in M; pAur = -log(value),,,,2018/11/16,,,2020/03/17,
52529730,,458622,21434953,MAIN,18527999,,,,,,,,,7168296,LD50,,6089175,,Cell/tumor cell: proliferation/viability/growth,Toxicity/Safety Pharmacology,,,,cytotoxic,Cytotoxic,,,,,,,,,,,,,,,,,,,,,~,100,,µM,4,result normalized in M; pAur = -log(value),,,,2018/11/16,,,2020/03/17,
52529731,,458622,21434957,MAIN,18528014,,,,,,,,,7168296,LD50,,6089175,,Cell/tumor cell: proliferation/viability/growth,Toxicity/Safety Pharmacology,,,,cytotoxic,Cytotoxic,,,,,,,,,,,,,,,,,,,,,~,100,,µM,4,result normalized in M; pAur = -log(value),,,,2018/11/16,,,2020/03/17,
52529732,,458622,21434954,MAIN,18528003,,,,,,,,,7168297,LD50,,6089182,,Cell/tumor cell: proliferation/viability/growth,Toxicity/Safety Pharmacology,,,,cytotoxic,Cytotoxic,,,,,,,,,,,,,,,,,,,,"48 h after administration of the title compound at 12.5 - 50 μmol/l ~ 1e5  - ~ 6e5 live cells/ml were remained (~ 1.05e6 live cells in medium alone, ~ 9.8e5 live cells in 1 : 99 DMSO : medium solution); results are shown in fig. 18",~,25,,µM,4.6,result normalized in M; pAur = -log(value),,,,2018/11/16,,,2020/03/17,
52529733,,458622,21434954,MAIN,18528003,,,,,,,,,7168298,qualitative,,6089187,,Cell/tumor cell: proliferation/viability/growth,Toxicity/Safety Pharmacology,,,,cytotoxic,Cytotoxic,,,,,,,,,,,,,,,,,,,,"48 h after administration of the title compound at 100 μmol/l ~ 1.2e5 live cells/ml were remained (~ 5e5 live cells in medium alone, ~ 4.5e5 live cells in 1 : 99 DMSO : medium solution); results are shown in fig. 15",ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529734,,458622,21434953,MAIN,18527999,,,,,,,,,7168298,qualitative,,6089187,,Cell/tumor cell: proliferation/viability/growth,Toxicity/Safety Pharmacology,,,,cytotoxic,Cytotoxic,,,,,,,,,,,,,,,,,,,,"48 h after administration of the title compound at 100 μmol/l ~ 1.3e5 live cells/ml were remained (~ 5e5 live cells in medium alone, ~ 4.5e5 live cells in 1 : 99 DMSO : medium solution); results are shown in fig. 15",ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529735,,458622,21434957,MAIN,18528014,,,,,,,,,7168298,qualitative,,6089187,,Cell/tumor cell: proliferation/viability/growth,Toxicity/Safety Pharmacology,,,,cytotoxic,Cytotoxic,,,,,,,,,,,,,,,,,,,,"48 h after administration of the title compound at 100 μmol/l ~ 8e4 live cells/ml were remained (~ 5e5 live cells in medium alone, ~ 4.5e5 live cells in 1 : 99 DMSO : medium solution); results are shown in fig. 15",ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529736,,444941,21434958,MAIN,779271,34524,,,,Marketed,,,,7168300,qualitative,,6089190,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect : blood pressure; effect on,,1806775,,,,,human,,,,,,,,,,,human,,,NeuroAid&reg; can be safely associated with title compound and does not have any interaction with title compound regarding blood pressure; figure is given,,,,,,,,,,2018/11/16,,,2018/11/22,
52529737,,444941,21434958,MAIN,779271,34524,,,,Marketed,,,,7168299,qualitative,,6089189,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect : hemostasis; effect on,,1806775,,,,,human,,,,,,,,,,,human,,,NeuroAid&reg; can be safely associated with title compound and does not have any interaction with title compound regarding blood coagulation,,,,,,,,,,2018/11/16,,,2018/11/22,
52529738,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168301,qualitative,,6089281,,Bood Pressure,In Vivo (Animal models),,,,blood pressure; effect on,,,,,,,,,,,,,,,,,,,,,title compound can be safely associated with aspirin and does not have any interaction with aspirin regarding blood pressure; figure is given,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529739,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168302,qualitative,,6089219,,,In Vivo (Animal models),,,,hemostasis; effect on,,1806774,,,,,human,,,,,,,,,,,human,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529740,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168303,qualitative,,6089265,,,In Vivo (Animal models),,,,APTT; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529741,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168304,qualitative,,6089230,,,In Vivo (Animal models),,,,APTT; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529742,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168305,qualitative,,6089285,,,In Vivo (Animal models),,,,APTT; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529743,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168306,qualitative,,6089239,,,In Vivo (Animal models),,,,APTT; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529744,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168307,qualitative,,6089312,,,In Vivo (Animal models),,,,APTT; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529745,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168308,qualitative,,6089288,,,In Vivo (Animal models),,,,APTT; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529746,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168309,qualitative,,6089235,,,In Vivo (Animal models),,,,CRP-C-reactive protein; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529747,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168310,qualitative,,6089201,,,In Vivo (Animal models),,,,CRP-C-reactive protein; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529748,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168311,qualitative,,6089205,,,In Vivo (Animal models),,,,CRP-C-reactive protein; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529749,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168312,qualitative,,6089191,,,In Vivo (Animal models),,,,CRP-C-reactive protein; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529750,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168313,qualitative,,6089314,,,In Vivo (Animal models),,,,CRP-C-reactive protein; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529751,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168314,qualitative,,6089274,,,In Vivo (Animal models),,,,CRP-C-reactive protein; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529752,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168315,qualitative,,6089236,,,In Vivo (Animal models),,,,D-dimer level; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529753,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168316,qualitative,,6089278,,,In Vivo (Animal models),,,,D-dimer level; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529754,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168317,qualitative,,6089197,,,In Vivo (Animal models),,,,D-dimer level; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529755,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168318,qualitative,,6089196,,,In Vivo (Animal models),,,,D-dimer level; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529756,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168319,qualitative,,6089210,,,In Vivo (Animal models),,,,D-dimer level; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529757,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168320,qualitative,,6089249,,,In Vivo (Animal models),,,,D-dimer level; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529758,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168321,qualitative,,6089212,,,In Vivo (Animal models),,,,NIHSS; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529759,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168322,qualitative,,6089300,,,In Vivo (Animal models),,,,NIHSS; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529760,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168323,qualitative,,6089283,,,In Vivo (Animal models),,,,NIHSS; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529761,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168324,qualitative,,6089286,,,In Vivo (Animal models),,,,NIHSS; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529762,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168325,qualitative,,6089296,,,In Vivo (Animal models),,,,NIHSS; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529763,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168326,qualitative,,6089223,,,In Vivo (Animal models),,,,NIHSS; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529764,,444941,21434960,MAIN,33586241,,oral administration,,,,,,,7168327,qualitative,,6089200,,,In Vivo (Animal models),,,,PT; effect on,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
